"party","partyVote","electorateSeats","listSeats"
"National",1058636,42,17
"Labour",614937,22,12
"Green",247372,0,14
"NZ First",147544,0,8
"Māori",31982,3,0
"Mana",24168,1,0
"ACT",23889,1,0
"United Future",13443,1,0
"Conservative",59237,0,0
"Aotearoa Legalise Cannabis",11738,0,0
"Democrats for Social Credit",1714,0,0
"Libertarianz",1595,0,0
"Alliance",1209,0,0
