"party","partyVote","electorateSeats","listSeats"
"Labour",838219,45,7
"National",425310,21,6
"NZ First",210912,1,12
"ACT",145078,0,9
"Green",142250,0,9
"United Future",135918,1,7
"Progressive",34542,1,1
"Christian Heritage",27492,0,0
"Outdoor Recreation",25985,0,0
"Alliance",25888,0,0
"Legalise Cannabis",12987,0,0
"Mana Māori",4980,0,0
"One New Zealand",1782,0,0
"NMP",274,0,0
